variable,fuente,variable_origen,bloque,dimension,descripcion,unidad,denominador,justificacion,limitaciones
horas_estudio__no_estudie_ni_hice_tarea_fuera_del_horario_escolar,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_no_estudie_ni_hice_tarea_fuera_del_horario_escolar,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: no estudie ni hice tarea fuera del horario escolar.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
horas_estudio__hasta_2_horas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_hasta_2_horas,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: hasta 2 horas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
horas_estudio__entre_2_y_4_horas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_entre_2_y_4_horas,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: entre 2 y 4 horas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
horas_estudio__entre_5_y_7_horas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_entre_5_y_7_horas,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: entre 5 y 7 horas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
horas_estudio__entre_8_y_10_horas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_entre_8_y_10_horas,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: entre 8 y 10 horas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
horas_estudio__mas_de_10_horas,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",ap31_mas_de_10_horas,horas_estudio,estudiante,Horas semanales dedicadas a estudiar o hacer tarea fuera del horario escolar. Categoria: mas de 10 horas.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'horas_estudio' (ver cob__horas_estudio),Pedida por la consigna.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__menos_de_15_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_menos_de_15_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: menos de 15 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__15_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_15_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 15 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__16_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_16_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 16 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__17_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_17_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 17 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__18_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_18_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 18 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__19_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_19_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 19 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__20_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_20_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 20 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__21_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_21_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 21 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__22_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_22_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: 22 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
edad__mas_de_22_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",edadA_junio2024_mas_de_22_anos,edad,estudiante,"Edad cumplida al 30 de junio de 2024, en tramos. Categoria: mas de 22 anos.",proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'edad' (ver cob__edad),"Pedida por la consigna. Es la base del calculo de sobreedad, que es un antecedente conocido de abandono.","Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sobreedad__menores_de_17_anos,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sobreedad_menores_de_17_anos,sobreedad,trayectoria,Años de atraso respecto de la edad teorica del año que cursa (17 años al 30 de junio para 5to/6to). Categoria: menores de 17 anos.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sobreedad' (ver cob__sobreedad),Pedida por la consigna y una de las señales de riesgo mas directas: el atraso escolar acumulado precede al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sobreedad__edad_teorica_para_el_ano_17_anos_al_30_de_junio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sobreedad_edad_teorica_para_el_ano_17_anos_al_30_de_junio,sobreedad,trayectoria,Años de atraso respecto de la edad teorica del año que cursa (17 años al 30 de junio para 5to/6to). Categoria: edad teorica para el ano 17 anos al 30 de junio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sobreedad' (ver cob__sobreedad),Pedida por la consigna y una de las señales de riesgo mas directas: el atraso escolar acumulado precede al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sobreedad__1_ano_de_sobreedad_18_anos_al_30_de_junio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sobreedad_1_ano_de_sobreedad_18_anos_al_30_de_junio,sobreedad,trayectoria,Años de atraso respecto de la edad teorica del año que cursa (17 años al 30 de junio para 5to/6to). Categoria: 1 ano de sobreedad 18 anos al 30 de junio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sobreedad' (ver cob__sobreedad),Pedida por la consigna y una de las señales de riesgo mas directas: el atraso escolar acumulado precede al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
sobreedad__2_anos_de_sobreedad_19_anos_al_30_de_junio,"Pruebas Aprender 2024 (Censal, Secundaria 5-6 año, base Agregada)",sobreedad_2_anos_de_sobreedad_19_anos_al_30_de_junio,sobreedad,trayectoria,Años de atraso respecto de la edad teorica del año que cursa (17 años al 30 de junio para 5to/6to). Categoria: 2 anos de sobreedad 19 anos al 30 de junio.,proporcion (0 a 1),estudiantes con respuesta valida en el bloque 'sobreedad' (ver cob__sobreedad),Pedida por la consigna y una de las señales de riesgo mas directas: el atraso escolar acumulado precede al abandono.,"Es una proporcion dentro de la fila, no un conteo: los conteos originales no son comparables entre bases porque cada una trae su propio factor de expansion."
